venue,batting_team,bowling_team,target_bin,chase_win
Arun Jaitley Stadium,Chennai Super Kings,Chennai Super Kings,<140,
Arun Jaitley Stadium,Chennai Super Kings,Chennai Super Kings,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Chennai Super Kings,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Chennai Super Kings,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Chennai Super Kings,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Chennai Super Kings,>220,
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,<140,0.0
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,140-159,1.0
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,160-179,0.6666666666666666
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,180-199,1.0
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,>220,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Lions,<140,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Lions,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Lions,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Lions,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Lions,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Lions,>220,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Titans,<140,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Titans,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Titans,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Titans,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Titans,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Gujarat Titans,>220,
Arun Jaitley Stadium,Chennai Super Kings,Kochi Tuskers Kerala,<140,
Arun Jaitley Stadium,Chennai Super Kings,Kochi Tuskers Kerala,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Kochi Tuskers Kerala,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Kochi Tuskers Kerala,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Kochi Tuskers Kerala,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Kochi Tuskers Kerala,>220,
Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,<140,
Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,>220,
Arun Jaitley Stadium,Chennai Super Kings,Lucknow Super Giants,<140,
Arun Jaitley Stadium,Chennai Super Kings,Lucknow Super Giants,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Lucknow Super Giants,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Lucknow Super Giants,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Lucknow Super Giants,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Lucknow Super Giants,>220,
Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,<140,
Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Mumbai Indians,>220,
Arun Jaitley Stadium,Chennai Super Kings,Pune Warriors,<140,
Arun Jaitley Stadium,Chennai Super Kings,Pune Warriors,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Pune Warriors,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Pune Warriors,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Pune Warriors,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Pune Warriors,>220,
Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,<140,
Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,>220,
Arun Jaitley Stadium,Chennai Super Kings,Rajasthan Royals,<140,
Arun Jaitley Stadium,Chennai Super Kings,Rajasthan Royals,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Rajasthan Royals,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Rajasthan Royals,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Rajasthan Royals,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Rajasthan Royals,>220,
Arun Jaitley Stadium,Chennai Super Kings,Rising Pune Supergiants,<140,
Arun Jaitley Stadium,Chennai Super Kings,Rising Pune Supergiants,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Rising Pune Supergiants,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Rising Pune Supergiants,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Rising Pune Supergiants,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Rising Pune Supergiants,>220,
Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,<140,
Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,160-179,
Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,>220,
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,<140,
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,140-159,
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,160-179,1.0
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,180-199,
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,200-219,
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,>220,
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,<140,
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,140-159,
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,160-179,
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,180-199,
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,200-219,
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,>220,0.0
Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,<140,
Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,140-159,
Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,160-179,
Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,180-199,
Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,200-219,
Arun Jaitley Stadium,Delhi Capitals,Delhi Capitals,>220,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Lions,<140,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Lions,140-159,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Lions,160-179,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Lions,180-199,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Lions,200-219,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Lions,>220,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,<140,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,140-159,
Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,160-179,
