venue,batting_team,bowling_team,chase_win
Arun Jaitley Stadium,Chennai Super Kings,Delhi Capitals,0.7142857142857143
Arun Jaitley Stadium,Chennai Super Kings,Sunrisers Hyderabad,1.0
Arun Jaitley Stadium,Delhi Capitals,Chennai Super Kings,0.0
Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,1.0
Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,0.0
Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,0.3333333333333333
Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,1.0
Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,1.0
Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,0.0
Arun Jaitley Stadium,Gujarat Lions,Delhi Capitals,0.5
Arun Jaitley Stadium,Gujarat Titans,Delhi Capitals,0.5
Arun Jaitley Stadium,Kochi Tuskers Kerala,Delhi Capitals,1.0
Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,0.625
Arun Jaitley Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,0.0
Arun Jaitley Stadium,Lucknow Super Giants,Delhi Capitals,0.0
Arun Jaitley Stadium,Mumbai Indians,Chennai Super Kings,0.5
Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,0.36363636363636365
Arun Jaitley Stadium,Mumbai Indians,Rajasthan Royals,1.0
Arun Jaitley Stadium,Pune Warriors,Delhi Capitals,0.5
Arun Jaitley Stadium,Punjab Kings,Delhi Capitals,0.4444444444444444
Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,0.375
Arun Jaitley Stadium,Rising Pune Supergiants,Delhi Capitals,0.5
Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,0.6666666666666666
Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,0.6666666666666666
Arun Jaitley Stadium,Sunrisers Hyderabad,Gujarat Lions,1.0
Arun Jaitley Stadium,Sunrisers Hyderabad,Rajasthan Royals,0.0
Barabati Stadium,Chennai Super Kings,Punjab Kings,0.0
Barabati Stadium,Delhi Capitals,Sunrisers Hyderabad,0.0
Barabati Stadium,Kolkata Knight Riders,Punjab Kings,1.0
Barabati Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,1.0
Barabati Stadium,Mumbai Indians,Kolkata Knight Riders,0.0
Barabati Stadium,Pune Warriors,Sunrisers Hyderabad,0.0
Barabati Stadium,Punjab Kings,Sunrisers Hyderabad,0.0
"Barsapara Cricket Stadium, Guwahati",Delhi Capitals,Rajasthan Royals,0.0
"Barsapara Cricket Stadium, Guwahati",Punjab Kings,Rajasthan Royals,1.0
"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Lucknow Super Giants,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals,Lucknow Super Giants,0.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,Lucknow Super Giants,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Kolkata Knight Riders,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bangalore,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Sunrisers Hyderabad,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,Lucknow Super Giants,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,Lucknow Super Giants,0.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Rajasthan Royals,Lucknow Super Giants,1.0
Brabourne Stadium,Chennai Super Kings,Punjab Kings,0.0
Brabourne Stadium,Delhi Capitals,Mumbai Indians,0.5
Brabourne Stadium,Delhi Capitals,Punjab Kings,1.0
Brabourne Stadium,Delhi Capitals,Rajasthan Royals,0.0
Brabourne Stadium,Gujarat Titans,Mumbai Indians,0.0
Brabourne Stadium,Gujarat Titans,Punjab Kings,1.0
Brabourne Stadium,Gujarat Titans,Royal Challengers Bangalore,1.0
Brabourne Stadium,Kolkata Knight Riders,Delhi Capitals,0.0
Brabourne Stadium,Kolkata Knight Riders,Mumbai Indians,0.0
Brabourne Stadium,Kolkata Knight Riders,Rajasthan Royals,0.0
Brabourne Stadium,Lucknow Super Giants,Chennai Super Kings,1.0
Brabourne Stadium,Lucknow Super Giants,Rajasthan Royals,0.0
Brabourne Stadium,Mumbai Indians,Chennai Super Kings,0.5
Brabourne Stadium,Mumbai Indians,Lucknow Super Giants,0.0
Brabourne Stadium,Punjab Kings,Mumbai Indians,0.0
Brabourne Stadium,Rajasthan Royals,Chennai Super Kings,1.0
Brabourne Stadium,Rajasthan Royals,Mumbai Indians,0.0
Brabourne Stadium,Royal Challengers Bangalore,Mumbai Indians,1.0
Brabourne Stadium,Royal Challengers Bangalore,Punjab Kings,0.0
Brabourne Stadium,Sunrisers Hyderabad,Delhi Capitals,0.0
Brabourne Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,1.0
Brabourne Stadium,Sunrisers Hyderabad,Mumbai Indians,0.0
Brabourne Stadium,Sunrisers Hyderabad,Rajasthan Royals,1.0
Brabourne Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,1.0
Buffalo Park,Mumbai Indians,Delhi Capitals,0.0
Buffalo Park,Mumbai Indians,Kolkata Knight Riders,1.0
Buffalo Park,Sunrisers Hyderabad,Chennai Super Kings,0.0
De Beers Diamond Oval,Punjab Kings,Sunrisers Hyderabad,1.0
De Beers Diamond Oval,Rajasthan Royals,Chennai Super Kings,0.0
De Beers Diamond Oval,Rajasthan Royals,Sunrisers Hyderabad,0.0
Dr DY Patil Sports Academy,Chennai Super Kings,Mumbai Indians,1.0
Dr DY Patil Sports Academy,Chennai Super Kings,Pune Warriors,1.0
Dr DY Patil Sports Academy,Delhi Capitals,Chennai Super Kings,0.0
Dr DY Patil Sports Academy,Delhi Capitals,Mumbai Indians,0.0
Dr DY Patil Sports Academy,Delhi Capitals,Pune Warriors,1.0
Dr DY Patil Sports Academy,Delhi Capitals,Rajasthan Royals,1.0
Dr DY Patil Sports Academy,Kochi Tuskers Kerala,Pune Warriors,0.0
Dr DY Patil Sports Academy,Kolkata Knight Riders,Gujarat Titans,0.0
Dr DY Patil Sports Academy,Kolkata Knight Riders,Lucknow Super Giants,0.0
Dr DY Patil Sports Academy,Kolkata Knight Riders,Pune Warriors,1.0
Dr DY Patil Sports Academy,Kolkata Knight Riders,Sunrisers Hyderabad,1.0
Dr DY Patil Sports Academy,Lucknow Super Giants,Delhi Capitals,1.0
Dr DY Patil Sports Academy,Lucknow Super Giants,Royal Challengers Bangalore,0.0
Dr DY Patil Sports Academy,Mumbai Indians,Chennai Super Kings,0.0
Dr DY Patil Sports Academy,Mumbai Indians,Kolkata Knight Riders,0.0
Dr DY Patil Sports Academy,Mumbai Indians,Pune Warriors,1.0
Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,0.5
Dr DY Patil Sports Academy,Mumbai Indians,Royal Challengers Bangalore,1.0
Dr DY Patil Sports Academy,Mumbai Indians,Sunrisers Hyderabad,1.0
Dr DY Patil Sports Academy,Punjab Kings,Delhi Capitals,0.0
Dr DY Patil Sports Academy,Punjab Kings,Gujarat Titans,1.0
Dr DY Patil Sports Academy,Punjab Kings,Pune Warriors,0.0
Dr DY Patil Sports Academy,Punjab Kings,Royal Challengers Bangalore,1.0
Dr DY Patil Sports Academy,Rajasthan Royals,Chennai Super Kings,1.0
Dr DY Patil Sports Academy,Rajasthan Royals,Gujarat Titans,0.0
Dr DY Patil Sports Academy,Rajasthan Royals,Mumbai Indians,0.0
Dr DY Patil Sports Academy,Royal Challengers Bangalore,Chennai Super Kings,0.0
Dr DY Patil Sports Academy,Royal Challengers Bangalore,Kolkata Knight Riders,1.0
