team,win_rate
Mumbai Indians,0.5517241379310345
Sunrisers Hyderabad,0.45525291828793774
Royal Challengers Bangalore,0.4823529411764706
Delhi Capitals,0.45634920634920634
Kolkata Knight Riders,0.5219123505976095
Punjab Kings,0.45528455284552843
Chennai Super Kings,0.5798319327731093
Rajasthan Royals,0.5067873303167421
Pune Warriors,0.2608695652173913
Gujarat Titans,0.6222222222222222
Lucknow Super Giants,0.5454545454545454
Rising Pune Supergiants,0.5
Gujarat Lions,0.43333333333333335
Kochi Tuskers Kerala,0.42857142857142855
